State/UTs,Enrolment of Children -Rural,Enrolment of Children -Urban,Enrolment of Children -Total Children,No. of children chosen for the weight measurement on the spot as  Rural sample size,% of the sample size in Rural Area w.r.t to total registered children ,No. of children chosen for the weight measurement on the spot as  Urban sample size,% of the sample size of Urban Area w.r.t to total registered children ,% of the sample size  w.r.t to total registered children 
Andhra Pradesh,1803,1420,3223,600,33.3,300,21.1,27.9
Assam,788,755,1543,600,76.1,300,39.7,58.3
Bihar,1613,808,2421,600,37.2,300,37.1,37.2
Dadra & Nagar Haveli,321,243,564,180,56.1,120,49.4,53.2
Daman & Diu,458,197,655,180,39.3,120,60.9,45.8
Delhi,1418,744,2162,600,42.3,300,40.3,41.6
Gujarat,1064,768,1832,540,50.8,360,46.9,49.1
Himachal Pradesh,448,541,989,600,133.9,300,55.5,91
Karnataka,1063,647,1710,600,56.4,300,46.4,52.6
Kerala,500,287,787,600,120,300,104.5,114.4
Madhya Pradesh ,1331,895,2226,600,45.1,300,33.5,40.4
Maharashtra,1155,820,1975,600,51.9,300,36.6,45.6
Odisha,859,545,1404,600,69.8,300,55,64.1
Puducherry,210,153,363,180,85.7,120,78.4,82.6
Punjab,1119,531,1650,600,53.6,300,56.5,54.5
Rajasthan,1207,533,1740,600,49.7,300,56.3,51.7
Tamil Nadu,923,481,1404,600,65,300,62.4,64.1
Uttar Pradesh,2061,1189,3250,600,29.1,300,25.2,27.7
West Bengal,1193,389,1582,600,50.3,300,77.1,56.9
States/UTs above,19534,11946,31480,10080,51.6,5220,43.7,48.6
