State/UTs,No. of Aganwadis covered for study,Enrolment of Children in the month of January 2014,No. of children chosen for the weight measurement on the spot as sample size,% of the sample size  w.r.t to total registered children ,Weight as recorded in the register for the previous month January 2014-Total Children under Health status ,Weight as recorded in the register for the previous month January 2014-N-Rural +Urban,Weight as recorded in the register for the previous month January 2014-N-% of Rura+Urban w.r.t. Tot Children under Health Status,Weight as recorded in the register for the previous month January 2014-MM (Grade I&II)-Rural +Urban,Weight as recorded in the register for the previous month January 2014-MM (Grade I&II)-% of Rura+Urban w.r.t. Tot Children under Health Status,Weight as recorded in the register for the previous month January 2014-SM (Grade III&IV)-Rural +Urban,Weight as recorded in the register for the previous month January 2014-SM (Grade III&IV)-% of Rura+Urban w.r.t. Tot Children under Health Status,Weight as recorded in the register for the previous month January 2014-%  health status w.r.t total Sample children,Weight as recorded in the register for the previous month January 2014-No of childred misclassified or weight not recorded under Health Status ,Weight as recorded in the register for the previous month January 2014-% misclassified or weight not recorded w.r.t total Sample child
Andhra Pradesh,30,3507,900,25.7,564,358,63.5,142,25.2,64,11.3,62.7,336,37.3
Assam,30,1543,900,58.3,684,520,76,142,20.8,22,3.2,76,216,24
Bihar,30,2421,900,37.2,900,522,58,245,27.2,133,14.8,100,0,0
Dadra & Nagar Haveli,10,579,300,51.8,300,289,96.3,10,3.3,1,0.3,100,0,0
Daman & Diu,10,677,300,44.3,300,147,49,136,45.3,17,5.7,100,0,0
Delhi,30,2107,900,42.7,667,371,55.6,176,26.4,120,18,74.1,233,25.9
Gujarat,30,1785,900,50.4,887,616,69.4,229,25.8,42,4.7,98.6,13,1.4
Himachal Pradesh,30,1117,900,80.6,863,737,85.4,100,11.6,26,3,95.9,37,4.1
Karnataka,30,1704,900,52.8,766,600,78.3,136,17.8,30,3.9,85.1,134,14.9
Kerala,30,785,900,114.6,900,746,82.9,131,14.6,23,2.6,100,0,0
Madhya Pradesh ,30,2257,900,39.9,899,657,73.1,186,20.7,56,6.2,99.9,1,0.1
Maharashtra,30,1659,900,54.2,720,630,87.5,81,11.3,9,1.3,80,180,20
Odisha,30,1388,900,64.8,838,662,79,150,17.9,26,3.1,93.1,62,6.9
Puducherry,10,351,300,85.5,300,264,88,35,11.7,1,0.3,100,0,0
Punjab,30,1617,900,55.7,0,0,0,0,0,0,0,0,900,100
Rajasthan,30,1701,900,52.9,191,86,45,60,31.4,45,23.6,21.2,709,78.8
Tamil Nadu,30,1357,900,66.3,900,753,83.7,143,15.9,4,0.4,100,0,0
Uttar Pradesh,30,3244,900,27.7,0,0,0,0,0,0,0,0,900,100
West Bengal,30,1598,900,56.3,746,653,87.5,85,11.4,8,1.1,82.9,154,17.1
States/UTs above,510,31397,15300,48.7,11425,8611,75.4,2187,19.1,627,5.5,74.7,3875,25.3
